server	ncores	nthreads	filesize	total_connections	total_requests	total_replies	total_test_duration	connection_rate_per_sec	connection_time_avg	connection_time_max	reply_time_response	reply_time_transfer	reply_size_header	reply_size_content	reply_size_footer	reply_size_total	reply_status_1xx	reply_status_2xx	reply_status_3xx	reply_status_4xx	reply_status_5xx	cpu_time_user_sec	cpu_time_system_sec	cpu_time_user_pct	cpu_time_system_pct	cpu_time_total_pct	net_io_kb_sec	net_io_bps	errors_total	errors_client_timeout	errors_socket_timeout	errors_conn_refused	errors_conn_reset	errors_fd_unavail	errors_addr_unavail	errors_ftab_full	errors_other
msq-server-signal	8	64	281b	30000	30000	30000	14.999	2000.2	0.5	4.9	0.2	0.0	19.0	281.0	0.0	300.0	0	30000	0	0	0	9.42	5.55	62.8	37.0	99.8	720.8	5.9*10^6	0	0	0	0	0	0	0	0	0
msq-server-signal	8	64	281b	45000	44999	44993	14.999	3000.2	0.5	5.8	0.2	0.0	19.0	281.0	0.0	300.0	0	44993	0	0	0	8.96	6.00	59.7	40.0	99.7	1081.0	8.9*10^6	7	7	0	0	0	0	0	0	0
msq-server-signal	8	64	281b	60000	59996	59990	15.006	3998.3	0.5	8.3	0.2	0.0	19.0	281.0	0.0	300.0	0	59990	0	0	0	8.68	6.29	57.8	41.9	99.8	1440.6	11.8*10^6	10	10	0	0	0	0	0	0	0
msq-server-signal	8	64	281b	75000	74988	74956	15.003	4999.1	0.5	12.2	0.2	0.0	19.0	281.0	0.0	300.0	0	74956	0	0	0	7.92	7.03	52.8	46.9	99.7	1800.5	14.7*10^6	44	44	0	0	0	0	0	0	0
lcrq-server-broadcast	8	16	281b	30000	29675	29280	15.001	1999.9	8.1	99.8	4.2	0.0	19.0	281.0	0.0	300.0	0	29280	0	0	0	8.94	6.01	59.6	40.1	99.7	705.2	5.8*10^6	720	720	0	0	0	0	0	0	0
lcrq-server-broadcast	8	16	281b	45000	43980	41666	15.015	2997.1	13.1	109.7	7.0	0.1	19.0	281.0	0.0	300.0	0	41666	0	0	0	7.94	7.03	52.9	46.8	99.7	1010.4	8.3*10^6	3334	3334	0	0	0	0	0	0	0
lcrq-server-broadcast	8	16	281b	60000	59780	59606	15.009	3997.7	1.8	77.9	0.9	0.0	19.0	281.0	0.0	300.0	0	59606	0	0	0	8.36	6.60	55.7	44.0	99.7	1431.9	11.7*10^6	394	394	0	0	0	0	0	0	0
lcrq-server-broadcast	8	16	281b	75000	74910	74834	15.005	4998.4	0.7	17.6	0.3	0.0	19.0	281.0	0.0	300.0	0	74834	0	0	0	7.74	7.22	51.6	48.1	99.7	1797.5	14.7*10^6	166	166	0	0	0	0	0	0	0
msq-server-broadcast	8	16	281b	30000	30000	30000	14.999	2000.2	0.5	2.2	0.2	0.0	19.0	281.0	0.0	300.0	0	30000	0	0	0	9.54	5.42	63.6	36.2	99.8	720.8	5.9*10^6	0	0	0	0	0	0	0	0	0
msq-server-broadcast	8	16	281b	45000	44968	44966	14.999	3000.2	0.5	13.9	0.3	0.0	19.0	281.0	0.0	300.0	0	44966	0	0	0	8.89	6.07	59.3	40.5	99.7	1080.3	8.9*10^6	34	34	0	0	0	0	0	0	0
msq-server-broadcast	8	16	281b	60000	59986	59958	15.006	3998.3	0.7	8.9	0.3	0.0	19.0	281.0	0.0	300.0	0	59958	0	0	0	8.76	6.20	58.4	41.3	99.7	1439.9	11.8*10^6	42	42	0	0	0	0	0	0	0
msq-server-broadcast	8	16	281b	75000	74886	74718	15.003	4999.1	1.3	14.4	0.6	0.0	19.0	281.0	0.0	300.0	0	74718	0	0	0	7.61	7.35	50.7	49.0	99.7	1795.4	14.7*10^6	282	282	0	0	0	0	0	0	0
msq-server-broadcast	8	16	281b	90000	89581	89176	14.999	6000.3	3.2	88.5	1.6	0.1	19.0	281.0	0.0	300.0	0	89176	0	0	0	6.89	8.07	45.9	53.8	99.7	2144.3	17.6*10^6	824	824	0	0	0	0	0	0	0
msq-server-broadcast	8	16	281b	30000	29961	29892	15.005	1999.3	8.4	100.7	4.1	0.0	19.0	281.0	0.0	300.0	0	29892	0	0	0	8.61	6.36	57.4	42.4	99.8	718.2	5.9*10^6	108	108	0	0	0	0	0	0	0
msq-server-broadcast	8	16	281b	45000	42235	36064	15.117	2976.7	24.4	109.4	12.9	0.1	19.0	281.0	0.0	300.0	0	36064	0	0	0	6.84	8.24	45.3	54.5	99.8	887.2	7.3*10^6	8936	8936	0	0	0	0	0	0	0
msq-server-broadcast	8	16	281b	60000	59932	59787	15.076	3979.8	1.4	13.1	0.7	0.0	19.0	281.0	0.0	300.0	0	59787	0	0	0	8.22	6.82	54.5	45.2	99.7	1429.7	11.7*10^6	213	213	0	0	0	0	0	0	0
msq-server-broadcast	8	16	281b	75000	74149	72925	15.013	4995.8	4.4	106.0	2.4	0.1	19.0	281.0	0.0	300.0	0	72925	0	0	0	7.35	7.61	49.0	50.7	99.7	1755.9	14.4*10^6	2075	2075	0	0	0	0	0	0	0
msq-server-broadcast	8	64	281b	30000	29988	29960	14.999	2000.2	0.7	15.9	0.3	0.0	19.0	281.0	0.0	300.0	0	29960	0	0	0	9.46	5.50	63.1	36.7	99.8	719.9	5.9*10^6	40	40	0	0	0	0	0	0	0
msq-server-broadcast	8	64	281b	45000	44996	44971	14.999	3000.2	0.7	6.0	0.3	0.0	19.0	281.0	0.0	300.0	0	44971	0	0	0	8.88	6.07	59.2	40.5	99.7	1080.5	8.9*10^6	29	29	0	0	0	0	0	0	0
msq-server-broadcast	8	64	281b	60000	59849	59794	15.006	3998.3	0.8	27.4	0.4	0.0	19.0	281.0	0.0	300.0	0	59794	0	0	0	8.49	6.48	56.6	43.2	99.7	1436.1	11.8*10^6	206	206	0	0	0	0	0	0	0
msq-server-broadcast	8	64	281b	75000	74900	74848	15.003	4999.0	0.5	22.1	0.3	0.0	19.0	281.0	0.0	300.0	0	74848	0	0	0	7.73	7.23	51.5	48.2	99.7	1798.0	14.7*10^6	152	152	0	0	0	0	0	0	0
lcrq-server-signal	8	64	281b	30000	30000	30000	14.999	2000.1	0.5	4.9	0.2	0.0	19.0	281.0	0.0	300.0	0	30000	0	0	0	9.36	5.61	62.4	37.4	99.8	720.7	5.9*10^6	0	0	0	0	0	0	0	0	0
lcrq-server-signal	8	64	281b	45000	44996	44986	14.999	3000.2	0.5	6.1	0.3	0.0	19.0	281.0	0.0	300.0	0	44986	0	0	0	8.91	6.05	59.4	40.3	99.7	1080.8	8.9*10^6	14	14	0	0	0	0	0	0	0
lcrq-server-signal	8	64	281b	60000	59994	59980	15.006	3998.3	0.5	8.1	0.3	0.0	19.0	281.0	0.0	300.0	0	59980	0	0	0	8.44	6.52	56.3	43.5	99.7	1440.4	11.8*10^6	20	20	0	0	0	0	0	0	0
lcrq-server-signal	8	64	281b	75000	74973	74916	15.003	4999.1	0.6	13.0	0.3	0.0	19.0	281.0	0.0	300.0	0	74916	0	0	0	7.88	7.08	52.5	47.2	99.7	1799.7	14.7*10^6	84	84	0	0	0	0	0	0	0
lcrq-server-broadcast	8	4	281b	30000	30000	30000	14.999	2000.2	0.5	4.3	0.2	0.0	19.0	281.0	0.0	300.0	0	30000	0	0	0	9.57	5.38	63.8	35.9	99.7	720.8	5.9*10^6	0	0	0	0	0	0	0	0	0
lcrq-server-broadcast	8	4	281b	45000	45000	44997	14.999	3000.2	0.4	5.8	0.2	0.0	19.0	281.0	0.0	300.0	0	44997	0	0	0	9.14	5.82	60.9	38.8	99.8	1081.1	8.9*10^6	3	3	0	0	0	0	0	0	0
lcrq-server-broadcast	8	4	281b	60000	60000	60000	15.006	3998.3	0.5	9.2	0.2	0.0	19.0	281.0	0.0	300.0	0	60000	0	0	0	8.70	6.27	58.0	41.8	99.7	1440.8	11.8*10^6	0	0	0	0	0	0	0	0	0
lcrq-server-broadcast	8	4	281b	75000	74959	74917	15.003	4999.1	0.5	12.5	0.2	0.0	19.0	281.0	0.0	300.0	0	74917	0	0	0	7.93	7.03	52.9	46.8	99.7	1799.6	14.7*10^6	83	83	0	0	0	0	0	0	0
lcrq-server-broadcast	8	4	281b	90000	89894	89812	15.074	5970.7	0.6	8.2	0.3	0.0	19.0	281.0	0.0	300.0	0	89812	0	0	0	7.70	7.37	51.1	48.9	100.0	2147.4	17.6*10^6	188	188	0	0	0	0	0	0	0
lcrq-server-broadcast	8	4	281b	30000	29703	29166	15.001	1999.8	13.3	109.4	6.8	0.0	19.0	281.0	0.0	300.0	0	29166	0	0	0	8.41	6.55	56.0	43.7	99.7	703.0	5.8*10^6	834	834	0	0	0	0	0	0	0
lcrq-server-broadcast	8	4	281b	45000	44901	44775	15.001	2999.9	5.4	110.9	2.7	0.0	19.0	281.0	0.0	300.0	0	44775	0	0	0	8.42	6.54	56.1	43.6	99.7	1076.2	8.8*10^6	225	225	0	0	0	0	0	0	0
lcrq-server-broadcast	8	4	281b	60000	59779	59522	15.069	3981.7	3.5	79.6	1.7	0.0	19.0	281.0	0.0	300.0	0	59522	0	0	0	8.25	6.78	54.7	45.0	99.8	1424.5	11.7*10^6	478	478	0	0	0	0	0	0	0
lcrq-server-broadcast	8	4	281b	75000	74906	74795	15.003	4999.0	0.6	17.5	0.3	0.0	19.0	281.0	0.0	300.0	0	74795	0	0	0	8.17	6.79	54.5	45.3	99.7	1797.0	14.7*10^6	205	205	0	0	0	0	0	0	0
lcrq-server-broadcast	8	4	281b	90000	89853	89682	14.999	6000.3	0.6	10.3	0.3	0.0	19.0	281.0	0.0	300.0	0	89682	0	0	0	7.68	7.28	51.2	48.5	99.7	2155.4	17.7*10^6	318	318	0	0	0	0	0	0	0
lcrq-server-broadcast	8	4	281b	30000	29939	29856	15.000	1999.9	2.3	100.7	1.2	0.0	19.0	281.0	0.0	300.0	0	29856	0	0	0	9.13	5.84	60.8	38.9	99.8	717.6	5.9*10^6	144	144	0	0	0	0	0	0	0
lcrq-server-broadcast	8	4	281b	45000	44942	44873	15.000	3000.0	3.7	79.5	1.9	0.0	19.0	281.0	0.0	300.0	0	44873	0	0	0	8.48	6.48	56.5	43.2	99.7	1078.3	8.8*10^6	127	127	0	0	0	0	0	0	0
lcrq-server-broadcast	8	4	281b	60000	59633	59282	15.006	3998.3	6.3	108.3	3.2	0.0	19.0	281.0	0.0	300.0	0	59282	0	0	0	7.99	6.97	53.2	46.5	99.7	1425.1	11.7*10^6	718	718	0	0	0	0	0	0	0
lcrq-server-broadcast	8	4	281b	75000	74967	74929	15.003	4999.1	0.5	13.1	0.2	0.0	19.0	281.0	0.0	300.0	0	74929	0	0	0	7.88	7.08	52.5	47.2	99.7	1799.9	14.7*10^6	71	71	0	0	0	0	0	0	0
http-server-signal	8	64	281b	30000	30000	30000	14.999	2000.2	0.4	4.5	0.2	0.0	19.0	281.0	0.0	300.0	0	30000	0	0	0	9.49	5.47	63.3	36.5	99.8	720.8	5.9*10^6	0	0	0	0	0	0	0	0	0
http-server-signal	8	64	281b	45000	44995	44976	14.999	3000.2	0.5	12.2	0.2	0.0	19.0	281.0	0.0	300.0	0	44976	0	0	0	8.89	6.07	59.3	40.4	99.7	1080.6	8.9*10^6	24	24	0	0	0	0	0	0	0
http-server-signal	8	64	281b	60000	59985	59942	15.006	3998.3	0.5	15.9	0.2	0.0	19.0	281.0	0.0	300.0	0	59942	0	0	0	8.70	6.26	58.0	41.7	99.7	1439.6	11.8*10^6	58	58	0	0	0	0	0	0	0
http-server-signal	8	64	281b	75000	74968	74922	15.003	4999.1	0.5	12.1	0.3	0.0	19.0	281.0	0.0	300.0	0	74922	0	0	0	7.98	6.98	53.2	46.5	99.7	1799.8	14.7*10^6	78	78	0	0	0	0	0	0	0
lcrq-server-signal	8	16	281b	30000	29998	29997	15.001	1999.9	1.8	24.8	0.9	0.0	19.0	281.0	0.0	300.0	0	29997	0	0	0	9.30	5.66	62.0	37.7	99.8	720.6	5.9*10^6	3	3	0	0	0	0	0	0	0
lcrq-server-signal	8	16	281b	45000	44332	42862	15.003	2999.4	6.3	109.7	3.5	0.0	19.0	281.0	0.0	300.0	0	42862	0	0	0	8.20	6.76	54.6	45.1	99.7	1036.1	8.5*10^6	2138	2138	0	0	0	0	0	0	0
lcrq-server-signal	8	16	281b	60000	60000	60000	15.006	3998.3	0.5	2.5	0.2	0.0	19.0	281.0	0.0	300.0	0	60000	0	0	0	8.99	5.98	59.9	39.8	99.7	1440.8	11.8*10^6	0	0	0	0	0	0	0	0	0
lcrq-server-signal	8	16	281b	75000	74923	74820	15.003	4999.1	1.4	11.8	0.7	0.0	19.0	281.0	0.0	300.0	0	74820	0	0	0	7.76	7.20	51.7	48.0	99.7	1797.6	14.7*10^6	180	180	0	0	0	0	0	0	0
lcrq-server-signal	8	16	281b	90000	89604	89161	15.012	5995.2	4.2	94.4	2.2	0.1	19.0	281.0	0.0	300.0	0	89161	0	0	0	7.28	7.69	48.5	51.2	99.7	2142.2	17.5*10^6	839	839	0	0	0	0	0	0	0
lcrq-server-signal	8	16	281b	30000	29952	29872	15.001	1999.9	3.3	104.1	1.7	0.0	19.0	281.0	0.0	300.0	0	29872	0	0	0	9.02	5.93	60.2	39.6	99.7	717.9	5.9*10^6	128	128	0	0	0	0	0	0	0
lcrq-server-signal	8	16	281b	45000	44816	44563	15.001	2999.7	6.5	103.7	3.3	0.0	19.0	281.0	0.0	300.0	0	44563	0	0	0	8.19	6.77	54.6	45.1	99.7	1071.6	8.8*10^6	437	437	0	0	0	0	0	0	0
lcrq-server-signal	8	16	281b	60000	59961	59915	15.008	3997.9	2.4	73.9	1.2	0.0	19.0	281.0	0.0	300.0	0	59915	0	0	0	8.13	6.84	54.2	45.6	99.7	1438.8	11.8*10^6	85	85	0	0	0	0	0	0	0
lcrq-server-signal	8	16	281b	75000	74958	74868	15.007	4997.6	1.0	13.3	0.5	0.0	19.0	281.0	0.0	300.0	0	74868	0	0	0	8.09	6.87	53.9	45.8	99.7	1798.1	14.7*10^6	132	132	0	0	0	0	0	0	0
msq-server-broadcast	8	4	281b	30000	30000	30000	14.999	2000.2	0.5	8.3	0.2	0.0	19.0	281.0	0.0	300.0	0	30000	0	0	0	9.56	5.41	63.7	36.0	99.8	720.8	5.9*10^6	0	0	0	0	0	0	0	0	0
msq-server-broadcast	8	4	281b	45000	44999	44985	14.999	3000.2	0.5	10.5	0.2	0.0	19.0	281.0	0.0	300.0	0	44985	0	0	0	8.93	6.03	59.5	40.2	99.8	1080.8	8.9*10^6	15	15	0	0	0	0	0	0	0
msq-server-broadcast	8	4	281b	60000	59993	59963	15.006	3998.3	0.5	8.4	0.3	0.0	19.0	281.0	0.0	300.0	0	59963	0	0	0	8.32	6.64	55.4	44.3	99.7	1440.1	11.8*10^6	37	37	0	0	0	0	0	0	0
msq-server-broadcast	8	4	281b	75000	74994	74958	15.003	4999.1	0.5	11.9	0.3	0.0	19.0	281.0	0.0	300.0	0	74958	0	0	0	8.03	6.94	53.5	46.2	99.7	1800.6	14.8*10^6	42	42	0	0	0	0	0	0	0
msq-server-broadcast	8	4	281b	90000	89998	89995	15.058	5977.1	0.5	2.9	0.2	0.0	19.0	281.0	0.0	300.0	0	89995	0	0	0	7.19	7.82	47.8	51.9	99.7	2153.7	17.6*10^6	5	5	0	0	0	0	0	0	0
msq-server-broadcast	8	4	281b	30000	30000	29997	14.999	2000.1	3.6	21.3	1.7	0.0	19.0	281.0	0.0	300.0	0	29997	0	0	0	9.37	5.59	62.5	37.3	99.8	720.7	5.9*10^6	3	3	0	0	0	0	0	0	0
msq-server-broadcast	8	4	281b	45000	44641	44195	15.014	2997.2	10.3	98.7	5.2	0.0	19.0	281.0	0.0	300.0	0	44195	0	0	0	8.19	6.78	54.6	45.1	99.7	1062.7	8.7*10^6	805	805	0	0	0	0	0	0	0
msq-server-broadcast	8	4	281b	60000	59583	59042	15.124	3967.1	2.4	77.6	1.3	0.0	19.0	281.0	0.0	300.0	0	59042	0	0	0	8.21	6.88	54.3	45.5	99.7	1409.1	11.5*10^6	958	958	0	0	0	0	0	0	0
msq-server-broadcast	8	4	281b	75000	74929	74814	15.005	4998.3	0.8	17.1	0.4	0.0	19.0	281.0	0.0	300.0	0	74814	0	0	0	7.99	6.97	53.2	46.5	99.7	1797.2	14.7*10^6	186	186	0	0	0	0	0	0	0
msq-server-broadcast	8	4	281b	90000	88999	88064	15.092	5963.3	2.6	106.1	1.3	0.1	19.0	281.0	0.0	300.0	0	88064	0	0	0	6.83	8.22	45.2	54.5	99.7	2106.8	17.3*10^6	1936	1936	0	0	0	0	0	0	0
msq-server-broadcast	8	4	281b	30000	29984	29965	14.999	2000.2	2.5	75.2	1.2	0.0	19.0	281.0	0.0	300.0	0	29965	0	0	0	9.12	5.84	60.8	39.0	99.8	720.0	5.9*10^6	35	35	0	0	0	0	0	0	0
msq-server-broadcast	8	4	281b	45000	44998	44994	15.009	2998.3	2.5	27.0	1.2	0.0	19.0	281.0	0.0	300.0	0	44994	0	0	0	8.51	6.47	56.7	43.1	99.8	1080.3	8.8*10^6	6	6	0	0	0	0	0	0	0
msq-server-broadcast	8	4	281b	60000	59705	59513	15.018	3995.2	3.1	75.4	1.6	0.0	19.0	281.0	0.0	300.0	0	59513	0	0	0	8.02	6.95	53.4	46.3	99.7	1428.9	11.7*10^6	487	487	0	0	0	0	0	0	0
msq-server-broadcast	8	4	281b	75000	74996	74968	15.003	4999.1	0.5	12.9	0.2	0.0	19.0	281.0	0.0	300.0	0	74968	0	0	0	7.93	7.03	52.8	46.9	99.7	1800.8	14.8*10^6	32	32	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	30000	30000	30000	14.999	2000.2	0.4	5.0	0.2	0.0	19.0	281.0	0.0	300.0	0	30000	0	0	0	9.55	5.42	63.6	36.1	99.8	720.8	5.9*10^6	0	0	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	45000	44984	44953	14.999	3000.2	0.5	11.5	0.2	0.0	19.0	281.0	0.0	300.0	0	44953	0	0	0	9.02	5.94	60.1	39.6	99.7	1080.1	8.8*10^6	47	47	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	60000	60000	59996	15.006	3998.4	0.5	11.4	0.2	0.0	19.0	281.0	0.0	300.0	0	59996	0	0	0	8.38	6.59	55.8	43.9	99.7	1440.7	11.8*10^6	4	4	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	75000	74982	74950	15.003	4999.1	0.5	14.5	0.3	0.0	19.0	281.0	0.0	300.0	0	74950	0	0	0	7.96	7.01	53.0	46.7	99.7	1800.4	14.7*10^6	50	50	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	90000	89999	89998	14.997	6001.2	0.5	3.7	0.2	0.0	19.0	281.0	0.0	300.0	0	89998	0	0	0	7.59	7.36	50.6	49.1	99.7	2162.5	17.7*10^6	2	2	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	30000	29967	29933	15.001	1999.8	3.9	95.5	2.0	0.0	19.0	281.0	0.0	300.0	0	29933	0	0	0	8.89	6.08	59.3	40.5	99.8	719.2	5.9*10^6	67	67	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	45000	44990	44984	14.999	3000.2	1.5	63.0	0.7	0.0	19.0	281.0	0.0	300.0	0	44984	0	0	0	8.78	6.21	58.5	41.4	100.0	1080.8	8.9*10^6	16	16	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	60000	59999	59991	15.006	3998.3	0.5	8.8	0.3	0.0	19.0	281.0	0.0	300.0	0	59991	0	0	0	8.39	6.58	55.9	43.8	99.7	1440.6	11.8*10^6	9	9	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	75000	74715	74354	15.004	4998.6	6.1	73.1	3.1	0.0	19.0	281.0	0.0	300.0	0	74354	0	0	0	7.58	7.38	50.5	49.2	99.7	1787.4	14.6*10^6	646	646	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	90000	88725	86952	15.001	5999.8	9.3	96.6	4.9	0.1	19.0	281.0	0.0	300.0	0	86952	0	0	0	6.98	7.98	46.5	53.2	99.7	2096.8	17.2*10^6	3048	3048	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	30000	30000	29999	14.999	2000.2	0.5	7.3	0.2	0.0	19.0	281.0	0.0	300.0	0	29999	0	0	0	9.70	5.26	64.6	35.1	99.7	720.7	5.9*10^6	1	1	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	45000	44988	44964	14.999	3000.2	0.5	16.9	0.2	0.0	19.0	281.0	0.0	300.0	0	44964	0	0	0	9.07	5.89	60.4	39.3	99.7	1080.4	8.9*10^6	36	36	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	60000	59999	59988	15.006	3998.3	0.5	8.2	0.2	0.0	19.0	281.0	0.0	300.0	0	59988	0	0	0	10.88	4.08	72.5	27.2	99.7	1440.6	11.8*10^6	12	12	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	75000	74997	74970	15.003	4999.1	0.5	11.5	0.2	0.0	19.0	281.0	0.0	300.0	0	74970	0	0	0	8.08	6.90	53.9	46.0	99.9	1800.8	14.8*10^6	30	30	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	90000	89999	89997	14.999	6000.3	0.5	4.6	0.2	0.0	19.0	281.0	0.0	300.0	0	89997	0	0	0	7.51	7.45	50.1	49.7	99.7	2162.2	17.7*10^6	3	3	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	30000	30000	30000	14.999	2000.2	0.4	3.2	0.2	0.0	19.0	281.0	0.0	300.0	0	30000	0	0	0	9.57	5.39	63.8	36.0	99.8	720.8	5.9*10^6	0	0	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	45000	44991	44991	14.999	3000.2	0.9	10.3	0.4	0.0	19.0	281.0	0.0	300.0	0	44991	0	0	0	8.87	6.09	59.1	40.6	99.7	1080.9	8.9*10^6	9	9	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	60000	59962	59924	15.017	3995.5	4.8	74.8	2.4	0.0	19.0	281.0	0.0	300.0	0	59924	0	0	0	7.95	7.02	53.0	46.8	99.7	1438.1	11.8*10^6	76	76	0	0	0	0	0	0	0
msq-server-broadcast	8	1	281b	75000	74059	72602	15.004	4998.7	5.4	76.3	2.8	0.0	19.0	281.0	0.0	300.0	0	72602	0	0	0	7.61	7.35	50.8	49.0	99.7	1750.2	14.3*10^6	2398	2398	0	0	0	0	0	0	0
lcrq-server-signal	8	4	281b	30000	30000	30000	14.999	2000.2	0.4	2.3	0.2	0.0	19.0	281.0	0.0	300.0	0	30000	0	0	0	9.57	5.40	63.8	36.0	99.8	720.8	5.9*10^6	0	0	0	0	0	0	0	0	0
lcrq-server-signal	8	4	281b	45000	45000	44999	14.999	3000.2	0.5	5.9	0.2	0.0	19.0	281.0	0.0	300.0	0	44999	0	0	0	8.81	6.15	58.8	41.0	99.8	1081.1	8.9*10^6	1	1	0	0	0	0	0	0	0
lcrq-server-signal	8	4	281b	60000	59998	59985	15.006	3998.3	0.5	8.1	0.2	0.0	19.0	281.0	0.0	300.0	0	59985	0	0	0	8.51	6.45	56.7	43.0	99.7	1440.5	11.8*10^6	15	15	0	0	0	0	0	0	0
lcrq-server-signal	8	4	281b	75000	74983	74939	15.003	4999.1	0.5	11.4	0.3	0.0	19.0	281.0	0.0	300.0	0	74939	0	0	0	8.07	6.89	53.8	45.9	99.7	1800.2	14.7*10^6	61	61	0	0	0	0	0	0	0
lcrq-server-signal	8	4	281b	90000	89985	89969	14.999	6000.3	0.5	6.2	0.2	0.0	19.0	281.0	0.0	300.0	0	89969	0	0	0	7.59	7.36	50.6	49.1	99.7	2161.6	17.7*10^6	31	31	0	0	0	0	0	0	0
lcrq-server-signal	8	4	281b	30000	29815	29395	14.999	2000.2	11.2	111.0	5.7	0.0	19.0	281.0	0.0	300.0	0	29395	0	0	0	8.61	6.35	57.4	42.4	99.8	708.1	5.8*10^6	605	605	0	0	0	0	0	0	0
lcrq-server-signal	8	4	281b	45000	44334	43241	15.002	2999.6	16.9	109.7	8.6	0.0	19.0	281.0	0.0	300.0	0	43241	0	0	0	7.22	7.74	48.1	51.6	99.7	1043.6	8.5*10^6	1759	1759	0	0	0	0	0	0	0
